				Healthy						Sick					
Q86YB7	Enoyl-CoA hydratase domain-containing protein 2, mitochondrial OS=Homo sapiens GN=ECHDC2 PE=1 SV=2	0.002	0.011	0.101	0.147	0.275	0.120	0.179	0.148	0.962	1.593	0.493	0.527	1.804	0.280
O14791	Apolipoprotein L1 OS=Homo sapiens GN=APOL1 PE=1 SV=5	0.026	0.072	2.158	1.880	1.352	1.349	1.206	1.711	0.164	1.288	0.880	0.929	0.726	0.482
P50552	Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3	0.031	0.082	0.502	0.825	2.006	1.003	1.897	0.980	0.363	0.586	0.818	0.468	0.771	0.507
P68366	Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1	0.787	0.861	0.998	0.908	1.000	0.975	1.065	1.259	1.079	1.142	1.842	1.159	0.685	0.468
P63316	Troponin C, slow skeletal and cardiac muscles OS=Homo sapiens GN=TNNC1 PE=1 SV=1	0.002	0.012	0.663	0.535	0.556	0.338	0.402	0.464	1.029	1.016	1.256	2.010	0.779	0.712
P00966	Argininosuccinate synthase OS=Homo sapiens GN=ASS1 PE=1 SV=2	0.548	0.664	0.490	0.675	1.040	0.732	1.847	1.547	1.244	0.739	1.162	1.590	0.704	1.562
Q14574	Desmocollin-3 OS=Homo sapiens GN=DSC3 PE=1 SV=3	0.190	0.309	0.732	0.890	0.894	1.429	0.933	0.879	0.572	0.631	0.460	1.306	0.961	0.708
P08514	Integrin alpha-IIb OS=Homo sapiens GN=ITGA2B PE=1 SV=3	0.382	0.511	0.201	0.242	0.282	0.254	0.297	0.322	0.337	0.357	0.406	0.286	0.199	0.243
Q6Q788	Apolipoprotein A-V OS=Homo sapiens GN=APOA5 PE=1 SV=1	0.555	0.668	0.636	0.774	0.527	0.724	1.007	1.048	0.689	0.875	0.979	1.309	0.577	0.796
P05976	Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens GN=MYL1 PE=2 SV=3	0.918	0.943	0.750	0.872	0.820	1.413	1.305	0.614	0.409	0.956	1.767	0.568	2.655	0.470
P0DMV9	Heat shock 70 kDa protein 1B OS=Homo sapiens GN=HSPA1B PE=1 SV=1	0.206	0.329	0.874	0.613	1.464	2.034	1.555	0.594	0.905	1.246	2.055	3.812	1.047	1.862
P60174	Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3	0.141	0.249	0.222	0.090	0.233	0.239	0.334	0.259	0.972	0.361	0.240	0.240	1.872	0.171
P42126	Enoyl-CoA delta isomerase 1, mitochondrial OS=Homo sapiens GN=ECI1 PE=1 SV=1	0.190	0.309	0.622	0.038	0.029	0.036	0.030	0.051	1.721	0.081	0.252	0.092	0.149	0.036
Q06830	Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1	0.743	0.827	0.641	1.952	0.868	0.717	0.462	0.922	0.361	0.393	1.176	1.027	0.846	1.247
P35247	Pulmonary surfactant-associated protein D OS=Homo sapiens GN=SFTPD PE=1 SV=3	0.102	0.196	0.313	0.400	0.258	0.985	1.080	1.302	1.406	2.140	1.383	0.911	0.695	0.717
P09493	Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2	0.006	0.026	1.649	1.723	2.450	2.329	1.706	1.536	1.020	0.972	1.435	1.572	1.081	0.653
P15311	Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4	0.000	0.003	0.454	0.398	0.329	0.521	0.444	0.470	1.029	0.927	1.388	1.716	0.982	0.728
P28074	Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3	0.004	0.019	1.091	1.078	1.011	1.855	1.476	1.695	0.476	1.163	0.889	0.693	0.583	0.590
P10809	60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	0.057	0.127	0.552	0.346	0.619	0.935	1.263	1.583	1.560	0.839	2.139	1.499	2.193	0.971
P99999	Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2	0.003	0.015	0.061	0.244	0.064	0.129	0.085	0.106	1.790	3.372	1.016	0.692	0.198	0.367
Q12884	Prolyl endopeptidase FAP OS=Homo sapiens GN=FAP PE=1 SV=5	0.110	0.207	0.750	0.666	1.635	0.857	2.591	3.518	0.436	0.778	1.020	1.812	0.448	0.466
O75874	Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2	0.674	0.775	0.710	0.116	0.120	0.011	0.018	0.010	0.373	0.353	0.250	0.017	0.042	0.010
P80404	4-aminobutyrate aminotransferase, mitochondrial OS=Homo sapiens GN=ABAT PE=1 SV=3	0.002	0.011	1.759	1.485	2.848	2.912	2.533	2.114	0.789	0.558	0.456	0.468	0.171	1.183
P28838	Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3	0.658	0.762	1.235	1.834	0.877	0.666	1.108	0.836	1.251	0.750	1.473	0.976	0.697	0.772
Q15149	Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3	0.983	0.987	0.782	0.294	0.344	0.318	0.298	0.392	0.804	0.502	0.803	0.251	0.220	0.171
P08294	Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD3 PE=1 SV=2	0.037	0.093	0.558	0.223	0.224	0.150	0.105	0.183	0.887	0.431	1.198	0.356	0.330	0.226
P11717	Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3	0.466	0.592	0.494	0.468	0.318	0.982	1.624	1.327	1.048	0.895	1.370	0.923	0.688	0.719
Q9UK55	Protein Z-dependent protease inhibitor OS=Homo sapiens GN=SERPINA10 PE=1 SV=1	0.148	0.258	0.544	0.544	1.092	0.575	1.000	0.922	0.561	0.481	0.737	0.725	0.500	0.538
P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	0.003	0.018	0.216	0.024	0.017	0.054	0.070	0.107	4.789	0.147	2.857	1.960	0.653	0.221
P03950	Angiogenin OS=Homo sapiens GN=ANG PE=1 SV=1	0.002	0.013	0.772	0.880	2.651	1.133	1.820	1.832	0.344	0.763	0.734	0.341	0.447	0.457
Q3LXA3	Triokinase/FMN cyclase OS=Homo sapiens GN=TKFC PE=1 SV=2	0.000	0.003	0.262	0.441	0.378	0.376	0.391	0.391	1.011	1.000	1.772	0.723	1.203	0.736
P13804	Electron transfer flavoprotein subunit alpha, mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1	0.558	0.672	0.198	0.436	0.610	0.471	0.563	0.347	0.716	1.193	0.877	0.516	0.202	0.219
P31150	Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2	0.814	0.879	1.082	1.237	0.697	1.471	1.211	1.432	0.935	1.221	1.277	1.028	1.372	0.959
Q12805	EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2	0.009	0.034	0.225	0.210	0.230	0.170	0.185	0.138	1.586	1.077	1.078	0.514	0.328	0.238
O75390	Citrate synthase, mitochondrial OS=Homo sapiens GN=CS PE=1 SV=2	0.370	0.502	1.153	0.650	1.975	1.101	1.577	3.202	0.383	0.683	1.441	2.294	1.093	1.287
P08133	Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3	0.625	0.732	0.804	0.349	0.362	0.077	0.150	0.093	2.080	0.491	0.601	0.121	0.132	0.076
Q13093	Platelet-activating factor acetylhydrolase OS=Homo sapiens GN=PLA2G7 PE=1 SV=1	0.001	0.008	0.614	0.300	0.472	0.889	0.691	0.559	1.396	1.225	1.256	2.086	1.124	1.235
Q9P232	Contactin-3 OS=Homo sapiens GN=CNTN3 PE=1 SV=3	0.000	0.002	0.268	0.059	0.119	0.115	0.162	0.101	3.025	1.118	0.714	2.363	0.661	0.745
P26447	Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	0.244	0.373	1.853	2.552	1.056	0.963	1.502	1.215	1.103	0.764	2.198	1.321	0.701	0.944
P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	0.031	0.082	0.576	0.050	0.034	0.131	0.143	0.147	0.947	0.228	0.496	0.402	0.345	0.251
P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2	0.000	0.002	0.183	0.198	0.183	0.312	0.443	0.298	1.130	0.897	0.813	0.902	0.763	0.569
O75223	Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	0.850	0.907	0.925	0.120	0.281	0.065	0.105	0.070	0.596	0.252	0.291	0.059	0.079	0.036
P00740	Coagulation factor IX OS=Homo sapiens GN=F9 PE=1 SV=2	0.154	0.266	2.018	3.905	0.910	0.727	2.039	1.090	0.844	0.758	1.548	1.068	0.957	0.784
Q15582	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1	0.000	0.002	1.783	1.615	1.171	1.876	1.382	1.507	0.542	0.646	0.704	1.063	0.596	0.658
Q96S96	Phosphatidylethanolamine-binding protein 4 OS=Homo sapiens GN=PEBP4 PE=1 SV=3	0.043	0.105	1.737	1.830	1.726	0.545	1.200	0.723	0.412	0.882	0.676	0.894	0.701	0.505
P07911	Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1	0.003	0.015	0.392	0.739	0.855	1.179	1.018	0.869	1.596	1.806	1.970	1.725	1.134	2.913
P31025	Lipocalin-1 OS=Homo sapiens GN=LCN1 PE=1 SV=1	0.538	0.657	0.991	1.179	0.447	0.691	0.571	2.088	0.509	1.130	0.567	0.928	1.115	0.425
O60234	Glia maturation factor gamma OS=Homo sapiens GN=GMFG PE=1 SV=1	0.008	0.031	1.388	1.299	1.241	1.114	1.355	2.442	0.611	1.125	0.929	0.992	0.481	0.858
P05155	Plasma protease C1 inhibitor OS=Homo sapiens GN=SERPING1 PE=1 SV=2	0.294	0.424	0.607	0.220	0.254	0.121	0.299	0.261	0.170	0.200	0.391	0.290	0.138	0.069
P34913	Bifunctional epoxide hydrolase 2 OS=Homo sapiens GN=EPHX2 PE=1 SV=2	0.064	0.139	0.726	0.498	0.373	0.615	0.745	0.543	1.159	0.857	2.402	0.733	0.548	0.758
P07195	L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2	0.076	0.158	0.460	0.061	0.115	0.066	0.066	0.172	3.006	0.354	0.672	0.308	0.219	0.072
P05156	Complement factor I OS=Homo sapiens GN=CFI PE=1 SV=2	0.279	0.408	0.892	0.534	1.156	0.919	1.563	1.567	1.440	1.157	1.486	1.902	0.798	1.356
P35590	Tyrosine-protein kinase receptor Tie-1 OS=Homo sapiens GN=TIE1 PE=1 SV=1	0.119	0.219	0.081	0.423	0.990	0.551	0.858	0.588	0.779	1.106	1.739	1.361	0.625	0.577
Q86WI1	Fibrocystin-L OS=Homo sapiens GN=PKHD1L1 PE=2 SV=2	0.006	0.025	0.380	0.436	0.282	0.301	0.303	0.587	3.119	0.662	1.846	1.873	2.624	0.465
P07988	Pulmonary surfactant-associated protein B OS=Homo sapiens GN=SFTPB PE=1 SV=3	0.267	0.396	0.983	1.054	1.131	0.884	1.070	2.685	0.463	0.856	1.733	1.059	0.602	1.134
Q02487	Desmocollin-2 OS=Homo sapiens GN=DSC2 PE=1 SV=1	0.028	0.077	0.761	0.724	0.495	0.840	0.738	0.591	1.094	0.935	1.220	1.257	0.685	0.731
P40926	Malate dehydrogenase, mitochondrial OS=Homo sapiens GN=MDH2 PE=1 SV=3	0.493	0.619	0.972	0.598	0.934	1.768	1.646	2.255	0.577	0.582	1.046	0.914	1.413	2.233
Q9UNZ2	NSFL1 cofactor p47 OS=Homo sapiens GN=NSFL1C PE=1 SV=2	0.000	0.004	0.610	0.527	0.448	0.640	0.667	0.559	1.100	1.190	0.962	1.236	0.804	0.770
P07108	Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2	0.111	0.207	0.866	0.767	0.849	0.858	0.906	1.095	1.053	1.375	1.633	1.311	0.628	1.221
Q8WZ42	Titin OS=Homo sapiens GN=TTN PE=1 SV=4	0.002	0.012	3.628	1.479	3.568	1.492	1.957	1.569	0.540	1.204	0.738	0.779	0.205	0.454
P10645	Chromogranin-A OS=Homo sapiens GN=CHGA PE=1 SV=7	0.001	0.006	0.125	0.260	0.224	0.156	0.214	0.152	0.975	1.387	0.362	0.479	0.567	0.589
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2	0.706	0.793	0.556	1.704	1.220	0.771	0.392	1.304	0.395	0.216	1.521	1.057	0.824	1.593
P08319	Alcohol dehydrogenase 4 OS=Homo sapiens GN=ADH4 PE=1 SV=5	0.920	0.943	0.788	0.523	0.498	0.035	0.069	0.086	0.600	0.335	0.597	0.066	0.063	0.130
Q16836	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Homo sapiens GN=HADH PE=1 SV=3	0.092	0.181	0.940	0.499	0.954	0.121	0.342	0.179	0.978	0.750	0.938	1.107	0.487	0.723
P35916	Vascular endothelial growth factor receptor 3 OS=Homo sapiens GN=FLT4 PE=1 SV=3	0.953	0.967	1.175	0.844	1.143	1.158	1.306	1.314	1.061	1.515	0.885	1.230	1.016	1.222
P98095	Fibulin-2 OS=Homo sapiens GN=FBLN2 PE=1 SV=2	0.246	0.374	1.163	1.813	1.024	0.709	0.955	0.805	0.813	0.603	1.255	0.899	0.713	0.857
P12830	Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3	0.970	0.979	1.002	1.104	1.502	1.577	1.159	0.987	1.116	1.108	1.984	1.158	1.267	0.860
O95428	Papilin OS=Homo sapiens GN=PAPLN PE=2 SV=4	0.685	0.780	0.850	1.000	1.200	1.385	0.559	0.890	0.958	1.095	0.630	1.411	0.899	0.509
P12236	ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4	0.111	0.207	0.823	0.540	0.672	0.882	0.932	0.783	0.745	1.116	0.940	1.301	0.965	0.722
P04004	Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1	0.001	0.009	1.165	1.034	0.941	0.782	0.713	0.676	1.485	1.895	2.112	1.056	2.121	1.489
Q02413	Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2	0.002	0.013	0.581	0.359	1.913	0.624	0.632	0.688	0.148	0.330	0.257	0.221	0.181	0.225
P55285	Cadherin-6 OS=Homo sapiens GN=CDH6 PE=1 SV=1	0.004	0.020	0.093	0.036	0.061	0.193	0.313	0.243	3.346	1.788	1.262	0.517	0.341	0.289
Q9HC38	Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1	0.000	0.004	0.072	0.124	0.068	0.155	0.248	0.207	0.627	1.360	0.310	0.629	0.755	0.551
P08603	Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4	0.550	0.665	0.779	0.090	0.125	0.026	0.052	0.032	1.798	0.205	0.220	0.061	0.041	0.035
P21549	Serine--pyruvate aminotransferase OS=Homo sapiens GN=AGXT PE=1 SV=1	0.898	0.929	2.362	1.100	3.273	0.451	0.742	0.439	0.647	0.758	1.587	1.273	0.611	2.891
P52758	Ribonuclease UK114 OS=Homo sapiens GN=HRSP12 PE=1 SV=1	0.304	0.433	0.808	0.151	0.766	0.872	0.710	0.834	0.857	0.556	1.008	0.938	0.866	0.884
Q13835	Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=2	0.009	0.033	0.127	0.036	0.036	0.075	0.052	0.086	7.215	0.279	0.557	0.585	0.192	0.219
Q06278	Aldehyde oxidase OS=Homo sapiens GN=AOX1 PE=1 SV=2	0.035	0.089	1.235	1.042	1.297	1.497	1.458	1.192	0.886	0.940	1.143	1.249	0.892	1.193
P12273	Prolactin-inducible protein OS=Homo sapiens GN=PIP PE=1 SV=1	0.124	0.226	1.010	0.318	0.665	0.133	0.221	0.195	0.698	1.257	1.482	0.396	0.311	0.475
O00187	Mannan-binding lectin serine protease 2 OS=Homo sapiens GN=MASP2 PE=1 SV=4	0.192	0.312	0.779	0.565	0.439	0.821	0.528	0.656	0.532	0.687	2.500	0.604	0.883	0.970
Q15942	Zyxin OS=Homo sapiens GN=ZYX PE=1 SV=1	0.175	0.292	0.666	0.051	0.053	0.036	0.045	0.046	0.909	0.153	0.215	0.141	0.128	0.047
Q9NZT1	Calmodulin-like protein 5 OS=Homo sapiens GN=CALML5 PE=1 SV=2	0.088	0.174	0.402	0.110	0.144	0.075	0.097	0.062	9.075	0.894	0.434	0.243	0.133	0.126
P40925	Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4	0.314	0.444	0.118	0.164	0.233	1.152	2.093	2.154	0.825	1.013	1.365	1.237	0.911	0.712
Q9Y696	Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4	0.222	0.348	1.552	2.176	1.109	0.768	1.435	0.787	0.950	0.644	1.536	0.991	0.743	0.927
Q6YHK3	CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2	0.004	0.018	0.735	0.990	2.951	1.608	1.938	2.130	0.374	0.823	0.779	0.510	0.476	0.651
P04792	Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	0.003	0.017	1.185	0.349	0.706	0.307	0.399	0.206	0.198	0.138	0.135	0.053	0.026	0.123
Q01469	Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3	0.259	0.386	0.724	0.752	0.397	0.875	0.768	0.803	0.771	0.893	0.809	0.587	2.120	0.795
Q14766	Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4	0.346	0.476	0.573	0.035	0.057	0.030	0.038	0.056	2.028	0.115	0.549	0.038	0.080	0.025
P09172	Dopamine beta-hydroxylase OS=Homo sapiens GN=DBH PE=1 SV=3	0.000	0.002	1.439	1.984	1.050	2.205	1.409	1.748	0.549	0.536	0.679	0.636	0.562	0.694
P32119	Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5	0.450	0.580	0.886	0.705	0.668	1.104	0.952	1.029	1.760	0.809	0.855	0.508	0.551	0.461
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial OS=Homo sapiens GN=CPS1 PE=1 SV=2	0.987	0.989	1.427	1.918	1.051	0.461	0.826	0.514	1.192	0.975	2.058	0.730	0.417	0.749
P27348	14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1	0.001	0.007	0.418	0.342	0.365	0.596	0.415	0.377	0.561	0.792	1.087	1.145	1.401	0.830
Q7L8C5	Synaptotagmin-13 OS=Homo sapiens GN=SYT13 PE=1 SV=1	0.418	0.547	0.451	0.582	1.754	0.707	1.189	0.942	0.558	0.870	1.092	0.883	0.480	0.449
Q08257	Quinone oxidoreductase OS=Homo sapiens GN=CRYZ PE=1 SV=1	0.502	0.627	0.924	0.669	1.438	0.278	0.411	0.384	1.068	0.903	1.005	0.518	0.695	0.393
Q15063	Periostin OS=Homo sapiens GN=POSTN PE=1 SV=2	0.236	0.363	0.545	0.084	0.098	0.059	0.071	0.142	2.723	0.290	0.248	0.194	0.119	0.066
O95810	Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3	0.088	0.174	1.525	1.008	0.882	1.053	1.244	1.109	0.635	1.053	1.201	0.864	0.972	0.636
P09871	Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1	0.044	0.106	0.304	0.530	0.223	0.881	0.647	0.614	1.309	0.939	1.423	1.479	0.461	0.587
P10586	Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens GN=PTPRF PE=1 SV=2	0.002	0.013	1.470	1.139	1.665	1.587	1.588	1.251	0.728	1.082	0.726	1.167	0.937	1.022
P00915	Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2	0.346	0.476	0.654	0.238	0.430	0.404	0.188	0.405	6.134	0.558	0.404	0.271	0.137	1.390
P14735	Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4	0.080	0.163	0.766	0.560	0.537	0.928	0.632	0.864	0.967	1.289	2.264	0.921	0.495	1.602
P27918	Properdin OS=Homo sapiens GN=CFP PE=1 SV=2	0.001	0.009	0.114	0.246	0.118	0.276	0.295	0.262	0.474	1.328	0.605	1.286	1.046	0.369
Q9UQP3	Tenascin-N OS=Homo sapiens GN=TNN PE=1 SV=2	0.058	0.129	1.075	0.853	1.213	1.056	1.672	1.493	1.911	0.462	0.954	0.284	0.405	0.471
O00194	Ras-related protein Rab-27B OS=Homo sapiens GN=RAB27B PE=1 SV=4	0.002	0.013	0.222	0.061	0.115	0.099	0.146	0.150	1.237	1.199	1.017	0.556	1.400	0.147
Q07075	Glutamyl aminopeptidase OS=Homo sapiens GN=ENPEP PE=1 SV=3	0.004	0.020	3.046	1.718	2.062	2.371	2.802	1.995	0.770	1.758	1.575	0.802	0.549	0.997
O00602	Ficolin-1 OS=Homo sapiens GN=FCN1 PE=1 SV=2	0.958	0.969	0.603	0.372	1.155	1.147	2.109	1.075	1.129	0.830	1.042	1.216	0.703	0.741
Q5T749	Keratinocyte proline-rich protein OS=Homo sapiens GN=KPRP PE=1 SV=1	0.001	0.005	2.700	2.307	2.732	3.407	2.860	1.752	0.661	0.743	0.297	0.657	0.142	0.412
O00451	GDNF family receptor alpha-2 OS=Homo sapiens GN=GFRA2 PE=2 SV=2	0.919	0.943	0.991	0.119	0.510	0.688	1.060	1.354	0.524	0.170	0.303	1.225	0.678	1.927
P07951	Tropomyosin beta chain OS=Homo sapiens GN=TPM2 PE=1 SV=1	0.044	0.106	0.553	0.096	0.015	0.016	0.132	0.312	0.171	2.077	0.168	1.367	0.544	0.409
P59665	Neutrophil defensin 1 OS=Homo sapiens GN=DEFA1 PE=1 SV=1	0.974	0.980	0.741	0.197	0.166	0.116	0.143	0.111	0.220	0.248	0.394	0.178	0.139	0.078
P19440	Gamma-glutamyltranspeptidase 1 OS=Homo sapiens GN=GGT1 PE=1 SV=2	0.047	0.111	0.664	0.608	0.456	1.025	1.146	0.750	1.540	0.839	1.555	1.109	1.031	0.825
Q86YZ3	Hornerin OS=Homo sapiens GN=HRNR PE=1 SV=2	0.398	0.525	1.019	0.967	0.538	1.077	1.283	1.080	0.878	1.361	1.638	1.187	0.783	1.048
Q8IXL6	Extracellular serine/threonine protein kinase FAM20C OS=Homo sapiens GN=FAM20C PE=1 SV=2	0.000	0.004	0.412	0.286	0.207	0.358	0.468	0.495	1.251	1.643	1.303	0.810	0.693	0.725
P00533	Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2	0.590	0.699	0.330	0.322	0.833	0.401	0.783	0.578	0.849	0.729	1.159	0.402	0.430	0.318
P48740	Mannan-binding lectin serine protease 1 OS=Homo sapiens GN=MASP1 PE=1 SV=3	0.188	0.306	2.094	1.697	1.417	0.496	0.781	1.389	0.276	1.323	1.740	0.859	0.108	0.709
P00918	Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2	0.242	0.370	1.181	1.494	0.781	0.669	1.224	0.824	0.936	0.583	1.292	0.943	0.512	0.650
P02743	Serum amyloid P-component OS=Homo sapiens GN=APCS PE=1 SV=2	0.145	0.253	0.932	0.600	0.747	0.888	1.143	0.507	0.976	0.946	1.582	0.518	1.278	2.131
P00742	Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2	0.028	0.076	0.023	0.280	0.433	0.314	0.742	0.302	0.923	1.186	1.577	1.680	0.909	0.572
Q8IZF2	Adhesion G protein-coupled receptor F5 OS=Homo sapiens GN=ADGRF5 PE=1 SV=3	0.182	0.302	0.455	0.642	0.723	0.630	0.617	1.465	0.857	0.771	1.294	1.183	21.531	0.804
P78509	Reelin OS=Homo sapiens GN=RELN PE=1 SV=3	0.007	0.027	0.448	0.187	0.335	0.220	0.316	0.272	0.835	0.726	0.754	0.916	0.400	0.314
Q9Y6Z7	Collectin-10 OS=Homo sapiens GN=COLEC10 PE=2 SV=2	0.081	0.164	0.875	0.812	1.197	1.044	0.530	1.115	0.934	1.064	1.427	2.070	0.890	2.449
P02760	Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1	0.390	0.517	0.529	0.318	0.647	0.319	0.565	0.422	0.920	0.609	0.825	0.490	0.401	0.294
O95969	Secretoglobin family 1D member 2 OS=Homo sapiens GN=SCGB1D2 PE=2 SV=1	0.015	0.050	0.472	0.574	1.546	1.154	2.306	1.689	0.249	0.699	0.601	0.268	0.458	0.539
P36952	Serpin B5 OS=Homo sapiens GN=SERPINB5 PE=1 SV=2	0.344	0.475	0.639	0.083	0.066	0.034	0.046	0.065	1.049	0.131	0.493	0.107	0.068	0.038
Q08554	Desmocollin-1 OS=Homo sapiens GN=DSC1 PE=1 SV=2	0.002	0.011	0.890	0.928	2.660	1.216	1.424	1.414	0.296	0.676	0.807	0.413	0.554	0.504
Q13822	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Homo sapiens GN=ENPP2 PE=1 SV=3	0.011	0.040	0.351	0.026	0.125	0.159	0.224	0.199	3.931	1.172	1.609	0.498	0.316	0.258
P02730	Band 3 anion transport protein OS=Homo sapiens GN=SLC4A1 PE=1 SV=3	0.452	0.581	0.726	0.082	0.040	0.029	0.060	0.028	1.339	0.127	0.189	0.146	0.039	0.023
Q92954	Proteoglycan 4 OS=Homo sapiens GN=PRG4 PE=1 SV=2	0.001	0.008	0.151	0.251	0.507	0.391	0.343	0.232	2.737	1.540	0.956	0.930	0.513	2.182
P07225	Vitamin K-dependent protein S OS=Homo sapiens GN=PROS1 PE=1 SV=1	0.176	0.293	0.214	0.046	0.047	0.052	0.064	0.081	1.257	0.317	0.160	0.074	0.054	0.067
P01833	Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR PE=1 SV=4	0.004	0.020	0.216	0.331	0.277	0.362	0.308	0.333	1.967	1.028	1.001	0.695	0.572	0.424
P30530	Tyrosine-protein kinase receptor UFO OS=Homo sapiens GN=AXL PE=1 SV=3	0.002	0.013	1.414	1.103	0.990	1.549	1.212	1.345	0.509	0.769	0.995	0.898	0.798	0.596
P04066	Tissue alpha-L-fucosidase OS=Homo sapiens GN=FUCA1 PE=1 SV=4	0.003	0.015	0.341	0.365	0.979	0.494	0.729	0.521	1.163	1.172	2.601	1.192	1.226	0.893
P05413	Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4	0.039	0.098	0.636	0.811	1.575	0.684	1.262	0.928	0.444	0.538	0.828	0.619	0.749	0.581
P00505	Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3	0.000	0.002	1.370	1.586	2.004	2.330	1.811	1.376	0.820	0.725	0.875	0.667	0.870	0.965
P00325	Alcohol dehydrogenase 1B OS=Homo sapiens GN=ADH1B PE=1 SV=2	0.375	0.506	0.917	1.046	1.240	1.297	0.892	1.070	0.555	1.294	1.297	1.193	0.375	0.991
Q96HC4	PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5	0.001	0.006	0.326	0.095	0.135	0.156	0.190	0.166	0.627	0.409	0.483	0.812	0.447	0.312
P05091	Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens GN=ALDH2 PE=1 SV=2	0.003	0.017	1.188	1.150	0.816	1.117	1.308	2.077	0.549	0.742	0.882	0.564	0.672	0.695
P06576	ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3	0.225	0.352	0.334	0.517	1.699	0.567	1.370	0.937	0.463	0.549	0.665	0.429	0.652	0.523
